Year,Value
193001,-0.61
193002,-0.24
193003,0.19
193004,-0.32
193005,-0.28
193006,-0.12
193007,0.03
193008,0.00
193009,-0.28
193010,-0.15
193011,0.36
193012,0.01
193101,-0.08
193102,-0.63
193103,0.00
193104,-0.26
193105,-0.34
193106,0.05
193107,0.18
193108,0.19
193109,0.21
193110,0.41
193111,-0.02
193112,0.12
193201,0.84
193202,-0.37
193203,-0.45
193204,0.30
193205,-0.19
193206,-0.14
193207,0.00
193208,-0.14
193209,0.17
193210,0.21
193211,-0.25
193212,-0.29
193301,-0.58
193302,-0.73
193303,-0.46
193304,-0.34
193305,-0.27
193306,-0.29
193307,-0.15
193308,-0.16
193309,-0.29
193310,-0.13
193311,-0.13
193312,-0.70
193401,-0.39
193402,0.43
193403,-0.48
193404,-0.45
193405,0.22
193406,-0.03
193407,-0.05
193408,-0.06
193409,-0.36
193410,0.01
193411,0.26
193412,0.11
193501,-0.57
193502,0.91
193503,0.02
193504,-0.65
193505,-0.36
193506,-0.20
193507,-0.06
193508,-0.10
193509,-0.08
193510,0.08
193511,-0.77
193512,-0.36
193601,-0.59
193602,-0.80
193603,-0.27
193604,-0.34
193605,-0.03
193606,-0.09
193607,0.22
193608,-0.02
193609,-0.07
193610,0.09
193611,0.14
193612,0.21
193701,-0.50
193702,0.21
193703,-0.51
193704,-0.34
193705,0.08
193706,0.19
193707,-0.03
193708,0.12
193709,0.27
193710,0.30
193711,0.18
193712,-0.27
193801,0.16
193802,0.12
193803,0.30
193804,0.52
193805,0.16
193806,-0.13
193807,0.04
193808,0.07
193809,0.28
193810,0.33
193811,0.38
193812,-0.28
193901,0.16
193902,0.02
193903,-0.37
193904,-0.20
193905,0.15
193906,0.09
193907,0.05
193908,0.10
193909,-0.09
193910,-0.20
193911,0.07
193912,1.24
194001,-0.48
194002,0.08
194003,0.04
194004,0.24
194005,-0.04
194006,0.08
194007,0.14
194008,0.00
194009,0.21
194010,0.06
194011,-0.02
194012,0.42
194101,0.02
194102,0.27
194103,-0.03
194104,0.19
194105,0.16
194106,0.19
194107,0.24
194108,0.18
194109,-0.18
194110,0.31
194111,-0.14
194112,-0.08
194201,0.33
194202,-0.31
194203,-0.01
194204,0.00
194205,-0.02
194206,0.14
194207,-0.10
194208,-0.07
194209,0.07
194210,0.15
194211,0.26
194212,0.12
194301,-0.40
194302,0.27
194303,-0.14
194304,0.21
194305,0.16
194306,-0.31
194307,-0.01
194308,-0.13
194309,-0.01
